資料集名稱,下載方式及key,數據類型
攤銷費用,financial_statement:攤銷費用,float
支付之利息,financial_statement:支付之利息,float
收取之利息,financial_statement:收取之利息,float
收取之股利,financial_statement:收取之股利,float
收益費損項目合計,financial_statement:收益費損項目合計,float
普通股股本,financial_statement:普通股股本,float
期初現金及約當現金餘額,financial_statement:期初現金及約當現金餘額,float
期末現金及約當現金餘額,financial_statement:期末現金及約當現金餘額,float
未分配盈餘,financial_statement:未分配盈餘,float
未實現外幣兌換損失_利益,financial_statement:未實現外幣兌換損失_利益,float
未實現銷貨利益_損失,financial_statement:未實現銷貨利益_損失,float
本期現金及約當現金增加_減少_數,financial_statement:本期現金及約當現金增加_減少_數,float
本期稅前淨利_淨損,financial_statement:本期稅前淨利_淨損,float
本期綜合損益總額,financial_statement:本期綜合損益總額,float
歸屬共同控制下前手權益淨利_損,financial_statement:歸屬共同控制下前手權益淨利_損,float
歸屬母公司淨利_損,financial_statement:歸屬母公司淨利_損,float
歸屬非控制權益淨利_損,financial_statement:歸屬非控制權益淨利_損,float
母公司股東權益合計,financial_statement:母公司股東權益合計,float
每股盈餘,financial_statement:每股盈餘,float
法定盈餘公積,financial_statement:法定盈餘公積,float
流動負債_financial_statement,financial_statement:流動負債,float
流動資產_financial_statement,financial_statement:流動資產,float
營業利益_financial_statement,financial_statement:營業利益,float
營業外收入及支出,financial_statement:營業外收入及支出,float
營業成本,financial_statement:營業成本,float
營業收入淨額,financial_statement:營業收入淨額,float
營業毛利,financial_statement:營業毛利,float
營業活動之淨現金流入_流出,financial_statement:營業活動之淨現金流入_流出,float
營業費用,financial_statement:營業費用,float
營運產生之現金流入_流出,financial_statement:營運產生之現金流入_流出,float
特別股股本,financial_statement:特別股股本,float
特別股負債_流動,financial_statement:特別股負債_流動,float
特別股負債_非流動,financial_statement:特別股負債_非流動,float
現金及約當現金,financial_statement:現金及約當現金,float
當期所得稅負債,financial_statement:當期所得稅負債,float
當期所得稅資產_流動,financial_statement:當期所得稅資產_流動,float
發放現金股利,financial_statement:發放現金股利,float
發行公司債,financial_statement:發行公司債,float
短期借款,financial_statement:短期借款,float
短期借款增加,financial_statement:短期借款增加,float
短期借款減少,financial_statement:短期借款減少,float
研究發展費,financial_statement:研究發展費,float
租賃負債_非流動,financial_statement:租賃負債_非流動,float
租賃負債─流動,financial_statement:租賃負債─流動,float
稅前淨利,financial_statement:稅前淨利,float
管理費用,financial_statement:管理費用,float
籌資活動之淨現金流入_流出,financial_statement:籌資活動之淨現金流入_流出,float
綜合損益歸屬共同控制下前手權益,financial_statement:綜合損益歸屬共同控制下前手權益,float
綜合損益歸屬母公司,financial_statement:綜合損益歸屬母公司,float
綜合損益歸屬非控制權益,financial_statement:綜合損益歸屬非控制權益,float
繼續營業單位損益,financial_statement:繼續營業單位損益,float
繼續營業單位稅前淨利_淨損,financial_statement:繼續營業單位稅前淨利_淨損,float
股利收入,financial_statement:股利收入,float
股本,financial_statement:股本,float
股東權益總額,financial_statement:股東權益總額,float
與待出售非流動資產直接相關之負債,financial_statement:與待出售非流動資產直接相關之負債,float
與營業活動相關之負債之淨變動合計,financial_statement:與營業活動相關之負債之淨變動合計,float
與營業活動相關之資產之淨變動合計,financial_statement:與營業活動相關之資產之淨變動合計,float
舉借長期借款,financial_statement:舉借長期借款,float
處分不動產_廠房及設備,financial_statement:處分不動產_廠房及設備,float
處分及報廢不動產_廠房及設備損失_利益,financial_statement:處分及報廢不動產_廠房及設備損失_利益,float
處分投資損失_利益,financial_statement:處分投資損失_利益,float
處分無形資產,financial_statement:處分無形資產,float
處分無形資產損失_利益,financial_statement:處分無形資產損失_利益,float
處分透過其他綜合損益按公允價值衡量之金融資產,financial_statement:處分透過其他綜合損益按公允價值衡量之金融資產,float
負債及股東權益總額,financial_statement:負債及股東權益總額,float
負債準備_流動,financial_statement:負債準備_流動,float
負債準備_非流動,financial_statement:負債準備_非流動,float
負債總額,financial_statement:負債總額,float
財務成本,financial_statement:財務成本,float
資本公積合計,financial_statement:資本公積合計,float
資產總額,financial_statement:資產總額,float
資產負債表帳列之現金及約當現金,financial_statement:資產負債表帳列之現金及約當現金,float
退還_支付_之所得稅,financial_statement:退還_支付_之所得稅,float
透過其他綜合損益按公允價值衡量之金融資產_流動,financial_statement:透過其他綜合損益按公允價值衡量之金融資產_流動,float
透過其他綜合損益按公允價值衡量之金融資產_非流動,financial_statement:透過其他綜合損益按公允價值衡量之金融資產_非流動,float
透過損益按公允價值衡量之金融負債_流動,financial_statement:透過損益按公允價值衡量之金融負債_流動,float
透過損益按公允價值衡量之金融負債_非流動,financial_statement:透過損益按公允價值衡量之金融負債_非流動,float
透過損益按公允價值衡量之金融資產_流動,financial_statement:透過損益按公允價值衡量之金融資產_流動,float
透過損益按公允價值衡量之金融資產_非流動,financial_statement:透過損益按公允價值衡量之金融資產_非流動,float
透過損益按公允價值衡量金融資產及負債之淨損失_利益,financial_statement:透過損益按公允價值衡量金融資產及負債之淨損失_利益,float
遞延所得稅,financial_statement:遞延所得稅,float
遞延所得稅資產,financial_statement:遞延所得稅資產,float
遞延貸項,financial_statement:遞延貸項,float
遞延資產合計,financial_statement:遞延資產合計,float
避險之金融負債_流動,financial_statement:避險之金融負債_流動,float
避險之金融負債_非流動,financial_statement:避險之金融負債_非流動,float
避險之金融資產_流動,financial_statement:避險之金融資產_流動,float
避險之金融資產_非流動,financial_statement:避險之金融資產_非流動,float
銀行借款_非流動,financial_statement:銀行借款_非流動,float
非控制權益,financial_statement:非控制權益,float
非流動負債,financial_statement:非流動負債,float
非流動資產,financial_statement:非流動資產,float
非金融資產減損迴轉利益,financial_statement:非金融資產減損迴轉利益,float
預付投資款,financial_statement:預付投資款,float
預收股款,financial_statement:預收股款,float
預期信用減損_損失_利益_營業費用,financial_statement:預期信用減損_損失_利益_營業費用,float
EBITDA,fundamental_features:EBITDA,float
ROA稅後息前,fundamental_features:ROA稅後息前,float
ROA綜合損益,fundamental_features:ROA綜合損益,float
ROE稅後,fundamental_features:ROE稅後,float
ROE綜合損益,fundamental_features:ROE綜合損益,float
利息支出率,fundamental_features:利息支出率,float
取得不動產廠房及設備,fundamental_features:取得不動產廠房及設備,float
固定資產週轉次數,fundamental_features:固定資產週轉次數,float
存貨週轉率,fundamental_features:存貨週轉率,float
應收帳款週轉率,fundamental_features:應收帳款週轉率,float
折舊,fundamental_features:折舊,float
推銷費用率,fundamental_features:推銷費用率,float
業外收支營收率,fundamental_features:業外收支營收率,float
歸屬母公司淨利,fundamental_features:歸屬母公司淨利,float
每股營業利益,fundamental_features:每股營業利益,float
每股營業額,fundamental_features:每股營業額,float
每股現金流量,fundamental_features:每股現金流量,float
每股稅前淨利,fundamental_features:每股稅前淨利,float
每股稅後淨利,fundamental_features:每股稅後淨利,float
每股綜合損益,fundamental_features:每股綜合損益,float
流動比率,fundamental_features:流動比率,float
流動負債_fundamental_features,fundamental_features:流動負債,float
流動資產_fundamental_features,fundamental_features:流動資產,float
淨值成長率,fundamental_features:淨值成長率,float
淨值週轉率次數,fundamental_features:淨值週轉率次數,float
淨值除資產,fundamental_features:淨值除資產,float
營收成長率,fundamental_features:營收成長率,float
營業利益_fundamental_features,fundamental_features:營業利益,float
營業利益成長率,fundamental_features:營業利益成長率,float
營業利益率,fundamental_features:營業利益率,float
營業毛利成長率,fundamental_features:營業毛利成長率,float
營業毛利率,fundamental_features:營業毛利率,float
營業費用率,fundamental_features:營業費用率,float
營運現金流,fundamental_features:營運現金流,float
營運資金,fundamental_features:營運資金,float
現金流量比率,fundamental_features:現金流量比率,float
研究發展費用率,fundamental_features:研究發展費用率,float
稅前息前折舊前淨利率,fundamental_features:稅前息前折舊前淨利率,float
稅前淨利成長率,fundamental_features:稅前淨利成長率,float
稅前淨利率,fundamental_features:稅前淨利率,float
稅後淨利成長率,fundamental_features:稅後淨利成長率,float
稅後淨利率,fundamental_features:稅後淨利率,float
稅率,fundamental_features:稅率,float
管理費用率,fundamental_features:管理費用率,float
經常利益成長率,fundamental_features:經常利益成長率,float
經常稅後淨利,fundamental_features:經常稅後淨利,float
總負債除總淨值,fundamental_features:總負債除總淨值,float
總資產週轉次數,fundamental_features:總資產週轉次數,float
自由現金流量,fundamental_features:自由現金流量,float
貝里比率,fundamental_features:貝里比率,float
負債比率,fundamental_features:負債比率,float
資產總額成長率,fundamental_features:資產總額成長率,float
速動比率,fundamental_features:速動比率,float
外資自營商買賣超股數,institutional_investors_trading_summary:外資自營商買賣超股數,int
外資自營商買進股數,institutional_investors_trading_summary:外資自營商買進股數,int
外資自營商賣出股數,institutional_investors_trading_summary:外資自營商賣出股數,int
外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),int
外陸資買進股數(不含外資自營商),institutional_investors_trading_summary:外陸資買進股數(不含外資自營商),int
外陸資賣出股數(不含外資自營商),institutional_investors_trading_summary:外陸資賣出股數(不含外資自營商),int
投信買賣超股數,institutional_investors_trading_summary:投信買賣超股數,int
投信買進股數,institutional_investors_trading_summary:投信買進股數,int
投信賣出股數,institutional_investors_trading_summary:投信賣出股數,int
自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(自行買賣),int
自營商買賣超股數(避險),institutional_investors_trading_summary:自營商買賣超股數(避險),int
自營商買進股數(自行買賣),institutional_investors_trading_summary:自營商買進股數(自行買賣),int
自營商買進股數(避險),institutional_investors_trading_summary:自營商買進股數(避險),int
自營商賣出股數(自行買賣),institutional_investors_trading_summary:自營商賣出股數(自行買賣),int
自營商賣出股數(避險),institutional_investors_trading_summary:自營商賣出股數(避險),int
融券今日餘額,margin_transactions:融券今日餘額,int
融券使用率,margin_transactions:融券使用率,float
融券前日餘額,margin_transactions:融券前日餘額,int
融券現券償還,margin_transactions:融券現券償還,int
融券買進,margin_transactions:融券買進,int
融券賣出,margin_transactions:融券賣出,int
融券限額,margin_transactions:融券限額,int
融資今日餘額,margin_transactions:融資今日餘額,int
融資使用率,margin_transactions:融資使用率,float
融資前日餘額,margin_transactions:融資前日餘額,int
融資現金償還,margin_transactions:融資現金償還,int
融資買進,margin_transactions:融資買進,int
融資賣出,margin_transactions:融資賣出,int
融資限額,margin_transactions:融資限額,int
註記,margin_transactions:註記,str
資券互抵,margin_transactions:資券互抵,int
上月比較增減(%)_monthly_revenue,monthly_revenue:上月比較增減(%),float
上月營收_monthly_revenue,monthly_revenue:上月營收,int
前期比較增減(%)_monthly_revenue,monthly_revenue:前期比較增減(%),float
去年同月增減(%)_monthly_revenue,monthly_revenue:去年同月增減(%),float
去年當月營收_monthly_revenue,monthly_revenue:去年當月營收,int
去年累計營收_monthly_revenue,monthly_revenue:去年累計營收,int
當月營收_monthly_revenue,monthly_revenue:當月營收,int
當月累計營收_monthly_revenue,monthly_revenue:當月累計營收,int
本益比,price_earning_ratio:本益比,float
殖利率(%),price_earning_ratio:殖利率(%),float
股價淨值比,price_earning_ratio:股價淨值比,float
growth,quality_factor_z_score:growth,float
profitability,quality_factor_z_score:profitability,float
safety,quality_factor_z_score:safety,float
上月比較增減(%)_rotc_monthly_revenue,rotc_monthly_revenue:上月比較增減(%),float
上月營收_rotc_monthly_revenue,rotc_monthly_revenue:上月營收,float
前期比較增減(%)_rotc_monthly_revenue,rotc_monthly_revenue:前期比較增減(%),float
去年同月增減(%)_rotc_monthly_revenue,rotc_monthly_revenue:去年同月增減(%),float
去年當月營收_rotc_monthly_revenue,rotc_monthly_revenue:去年當月營收,float
去年累計營收_rotc_monthly_revenue,rotc_monthly_revenue:去年累計營收,float
當月營收_rotc_monthly_revenue,rotc_monthly_revenue:當月營收,float
當月累計營收_rotc_monthly_revenue,rotc_monthly_revenue:當月累計營收,float
同時指標不含趨勢指數(點),tw_business_indicators:同時指標不含趨勢指數(點),float
同時指標綜合指數(點),tw_business_indicators:同時指標綜合指數(點),float
景氣對策信號(分),tw_business_indicators:景氣對策信號(分),float
落後指標不含趨勢指數(點),tw_business_indicators:落後指標不含趨勢指數(點),float
落後指標綜合指數(點),tw_business_indicators:落後指標綜合指數(點),float
領先指標不含趨勢指數(點),tw_business_indicators:領先指標不含趨勢指數(點),float
領先指標綜合指數(點),tw_business_indicators:領先指標綜合指數(點),float
